,Date,Volume,Open,High,Low,Close,Median,ac,jaw,teeth,lips,bjaw,bteeth,blips,ao,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,jaws_tmp,teeth_tmp,lips_tmp,fdbb,fdbs,fdb,aof,aoaz,aobz,zlc,zlcb,zlcs,zcol,sz,bz,acs,acb,ss,sb
0,2023-01-12 22:00:00,8383,3983.55,3989.23,3976.71,3978.21,3982.97,-2.5088029412,3894.4330533637,3928.198202971,3952.2769947628,3895.3817134831,3871.9460304546,3855.357545345,70.2695147059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951.4917554423,3965.7942213186,3975.449082821,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
1,2023-01-13 02:00:00,6904,3978.21,3978.71,3971.97,3975.47,3975.34,-4.1735411765,3899.4405107972,3933.4765525996,3955.8315958103,3894.8074807474,3871.4926480827,3857.5937940113,67.4781029412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954.472786012,3967.7033770549,3975.4127218807,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
2,2023-01-13 06:00:00,15349,3975.47,3986.23,3974.46,3984.73,3980.345,-4.3532647059,3904.8462407359,3937.6310460247,3961.5002766482,3894.2298686042,3870.5134181175,3859.3008883051,65.4190147059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957.7068127605,3970.2317016439,3977.0568145871,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
3,2023-01-13 10:00:00,25142,3984.73,3986.96,3942.71,3947.59,3964.835,-7.0446764706,3910.0542222178,3941.6834152716,3965.7942213186,3893.5521172715,3869.5536741517,3860.1996857079,60.0493235294,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3958.5978361654,3969.1523613151,3972.9828763914,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
4,2023-01-13 14:00:00,82638,3947.59,3982.23,3943.21,3980.96,3962.72,-11.4267676471,3914.698128201,3946.9948633626,3967.7033770549,3892.8515316842,3868.6278800763,3860.9541067165,51.5205294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3959.1131066448,3967.8658890521,3969.5619175943,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
5,2023-01-13 18:00:00,26970,3980.96,4005.09,3974.96,4000.22,3990.025,-10.4308764706,3918.699233724,3951.4917554423,3970.2317016439,3892.0176942495,3867.8348277112,3861.807441813,48.0781470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962.9770933142,3972.2977112417,3976.3829450628,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
6,2023-01-15 22:00:00,7611,4000.22,4010.06,3994.05,4008.29,4002.055,-6.6818970588,3922.6492926683,3954.472786012,3969.1523613151,3891.2410347636,3866.8710126619,3862.4611935244,47.9143823529,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3967.8618316499,3978.2491689933,3984.9402967086,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,1.0,0.0,0.0
7,2023-01-16 02:00:00,4999,4008.29,4009.56,4002.04,4002.81,4005.8,-3.2914647059,3927.3820393861,3957.7068127605,3967.8658890521,3890.7900119011,3866.1644487954,3863.4763054796,47.7762647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3972.6041026937,3983.7593351947,3991.893531139,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,1.0,0.0,0.0
8,2023-01-16 06:00:00,11648,4002.81,4003.06,3979.29,3980.42,3991.175,-0.0263352941,3931.6580363564,3958.5978361654,3972.2977112417,3890.2429331157,3865.8070951809,3864.9284729655,48.7894117647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3974.925464857,3985.2424681557,3991.6540207594,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,1.0
9,2023-01-16 10:00:00,8624,3980.42,3998.8,3980.3,3997.43,3989.55,2.4352764706,3935.0181874059,3959.1131066448,3978.2491689933,3889.9660462267,3866.2198752685,3866.6621943488,51.1836470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3976.7535317498,3986.1039745246,3990.9526805062,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
