Date,Volume,Open,High,Low,Close,Median
2010-05-02 21:00:00,6887,1186.75,1205.45,1186.75,1201.25,1196.1
2010-05-03 21:00:00,40041,1201.25,1203.25,1167.95,1173.55,1185.6
2010-05-04 21:00:00,50169,1173.55,1177.85,1157.85,1166.15,1167.85
2010-05-05 21:00:00,124040,1166.15,1171.15,1056.05,1118.85,1113.6
2010-05-06 21:00:00,161944,1118.85,1137.85,1093.35,1112.45,1115.6
2010-05-09 21:00:00,93524,1112.45,1164.95,1112.45,1160.65,1138.7
2010-05-10 21:00:00,69197,1160.65,1170.85,1142.55,1152.35,1156.7
2010-05-11 21:00:00,53859,1152.35,1173.15,1143.15,1169.85,1158.15
2010-05-12 21:00:00,51041,1169.85,1176.65,1155.85,1157.35,1166.25
2010-05-13 21:00:00,82180,1157.35,1161.35,1125.85,1135.15,1143.6
2010-05-16 21:00:00,91370,1135.15,1142.15,1114.85,1138.65,1128.5
2010-05-17 21:00:00,100573,1138.65,1149.35,1117.35,1117.65,1133.35
2010-05-18 21:00:00,113694,1117.65,1124.65,1100.85,1117.15,1112.75
2010-05-19 21:00:00,134545,1117.15,1118.35,1065.15,1067.35,1091.75
2010-05-20 21:00:00,156097,1067.35,1090.65,1053.65,1088.15,1072.15
2010-05-23 21:00:00,53902,1088.15,1090.35,1068.15,1069.85,1079.25
2010-05-24 21:00:00,108685,1069.85,1078.15,1038.35,1077.85,1058.25
2010-05-25 21:00:00,90384,1077.85,1090.35,1060.15,1063.35,1075.25
2010-05-26 21:00:00,71323,1063.35,1103.85,1057.25,1102.15,1080.55
2010-05-27 21:00:00,72759,1102.15,1107.65,1084.35,1088.15,1096.0
2010-05-30 21:00:00,7463,1088.15,1096.85,1086.85,1091.35,1091.85
2010-05-31 21:00:00,70736,1091.35,1095.35,1068.65,1071.15,1082.0
2010-06-01 21:00:00,63406,1071.15,1099.15,1068.35,1098.85,1083.75
2010-06-02 21:00:00,52394,1098.85,1106.15,1091.85,1103.15,1099.0
2010-06-03 21:00:00,107287,1103.15,1108.65,1060.35,1063.85,1084.5
2010-06-06 21:00:00,22089,1063.85,1071.65,1048.65,1050.65,1060.15
2010-06-07 21:00:00,25743,1050.65,1064.15,1042.35,1061.35,1053.25
2010-06-08 21:00:00,19711,1061.35,1078.65,1052.35,1055.65,1065.5
2010-06-09 21:00:00,19242,1055.65,1088.65,1053.15,1086.15,1070.9
2010-06-10 21:00:00,17270,1086.15,1092.15,1074.65,1090.65,1083.4
2010-06-13 21:00:00,13753,1090.65,1105.85,1088.85,1089.85,1097.35
2010-06-14 21:00:00,15345,1089.85,1115.65,1088.65,1112.75,1102.15
2010-06-15 21:00:00,14489,1112.75,1118.85,1104.35,1112.85,1111.6
2010-06-16 21:00:00,32882,1112.85,1122.35,1105.65,1116.15,1114.0
2010-06-17 21:00:00,32649,1116.15,1120.65,1112.35,1116.85,1116.5
2010-06-20 21:00:00,26041,1116.85,1133.35,1107.35,1114.85,1120.35
2010-06-21 21:00:00,34136,1114.85,1120.85,1093.65,1095.85,1107.25
2010-06-22 21:00:00,55545,1095.85,1101.65,1084.35,1090.15,1093.0
2010-06-23 21:00:00,50014,1090.15,1094.85,1070.65,1078.15,1082.75
2010-06-24 21:00:00,43034,1078.15,1084.35,1067.85,1079.65,1076.1
2010-06-27 21:00:00,37767,1079.65,1084.65,1071.65,1075.15,1078.15
2010-06-28 21:00:00,70872,1075.15,1079.65,1035.35,1039.15,1057.5
2010-06-29 21:00:00,73042,1039.15,1049.35,1028.15,1030.15,1038.75
2010-06-30 21:00:00,86107,1030.15,1034.65,1011.15,1026.65,1022.9
2010-07-01 21:00:00,59863,1026.65,1037.15,1015.85,1023.65,1026.5
2010-07-04 21:00:00,7314,1023.65,1023.65,1016.35,1016.85,1020.0
