Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str
2024-06-18 21:00:00,5490.06,5495.5,5488.46,5490.88,5490.46,5496.07,5489.06,5491.38,20538,5490.26,5495.785,5488.76,5491.13,5492.2725,0.24051565132,0.10682808819,5264.4591061721,5319.01550449021,5369.91387022334,4733.3928832409,4950.47229890627,5110.25561103085,3954.32772054102,4188.07801604227,4428.85798314688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.20488849937,0,1,-1,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,-+
2024-06-19 21:00:00,5490.88,5517.03,5457.07,5475.24,5491.38,5517.63,5457.57,5475.64,221126,5491.13,5517.33,5457.32,5475.44,5487.325,0.24233292943,0.07045971141,5271.08186723578,5332.36919142893,5387.10059617867,4738.7015587101,4953.33807528979,5116.148387177,3955.95895337778,4189.65360395625,4432.93938604169,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.13837359695,0,1,-1,1,0,0.0,0.0,0.0,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,+-
2024-06-20 21:00:00,5475.24,5494.0,5462.51,5480.2,5475.64,5494.6,5463.28,5480.6,112336,5475.44,5494.3,5462.895,5480.4,5478.5975,0.24757043363,0.05090997267,5277.50287744841,5342.71179250032,5405.88597694294,4743.76244007291,4957.07356482998,5121.68343461297,3957.59179435025,4191.28240823112,4437.0233139164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9563096425,0,0,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,-+
2024-06-23 21:00:00,5480.2,5504.04,5455.97,5461.32,5480.6,5504.54,5456.57,5461.72,105862,5480.4,5504.29,5456.27,5461.52,5480.28,0.24184588355,0.00108922436,5287.87034841392,5356.85375593778,5423.16328155435,4749.01510928557,4961.34177274216,5126.68289241848,3959.20299648726,4192.84053094257,4440.98888118087,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.36094160322,0,1,-1,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,-+
2024-06-24 21:00:00,5461.32,5486.31,5457.74,5481.75,5461.72,5486.81,5458.34,5482.35,77617,5461.52,5486.56,5458.04,5482.05,5472.3,0.22545242404,-0.06370005467,5298.48378315131,5372.37547394555,5435.99562524348,4754.0811192936,4965.34237687412,5132.06957205322,3960.86716625785,4194.49233123895,4444.76402783934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.74452761637,0,0,0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,--
2024-06-25 21:00:00,5481.75,5499.05,5463.59,5480.89,5482.35,5499.65,5464.09,5481.29,84383,5482.05,5499.35,5463.84,5481.09,5481.595,0.20876551548,-0.11042903236,5307.45503060121,5387.36260220236,5444.51600019478,4758.97113480716,4969.56633365823,5137.15193758107,3962.52655043223,4196.11951007484,4448.46761097934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.08193593496,0,1,-1,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,4,++
2024-06-26 21:00:00,5480.89,5502.79,5463.73,5497.35,5481.29,5503.29,5464.33,5497.75,87412,5481.09,5503.04,5464.03,5497.55,5483.535,0.19550334939,-0.12804244746,5318.86983593958,5399.85790192706,5451.66880015583,4763.66398722505,4974.22767304626,5141.46246882869,3964.06748796424,4197.70515595434,4452.64731506976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62773989841,0,0,0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,4,++
2024-06-27 21:00:00,5497.35,5532.83,5458.81,5481.51,5497.75,5533.33,5459.31,5482.11,132647,5497.55,5533.08,5459.06,5481.81,5496.07,0.18854191384,-0.10614341413,5331.34350240576,5409.70035168618,5455.79504012466,4768.10944804275,4978.85107899087,5144.52408739255,3965.51065112614,4199.30706515626,4457.12073649289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.80224204091,0,1,-1,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,4,++
2024-06-30 21:00:00,5481.51,5491.61,5455.15,5482.6,5482.11,5492.21,5455.65,5483.2,108295,5481.81,5491.91,5455.4,5482.9,5473.655,0.17481778779,-0.10758325864,5343.72265606686,5418.52280772541,5460.95503209973,4772.02552166025,4983.33501391831,5147.47029070453,3966.95274488973,4200.88956702254,4461.47014110058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.71346784247,0,0,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,--
2024-07-01 21:00:00,5482.6,5508.54,5453.98,5506.52,5483.2,5509.04,5454.58,5507.02,74881,5482.9,5508.79,5454.28,5506.77,5481.535,0.16837608938,-0.0850997103,5354.76899021556,5425.24495675973,5465.47102567978,4775.320740518,4988.74892275616,5151.07572333087,3968.37501877596,4202.53825986794,4465.70982762071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.79550219682,0,0,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,-+
